impacto_presupuestario_anio,impacto_presupuestario_mes,ejercicio_presupuestario,sector_id,sector_desc,subsector_id,subsector_desc,caracter_id,caracter_desc,jurisdiccion_id,jurisdiccion_desc,subjurisdiccion_id,subjurisdiccion_desc,entidad_id,entidad_desc,servicio_id,servicio_desc,tipo_id,tipo_desc,clase_id,clase_desc,concepto_id,concepto_desc,subconcepto_id,subconcepto_desc,fuente_financiamiento_id,fuente_financiamiento_desc,clasificador_economico_8_digitos_id,clasificador_economico_8_digitos_desc,prestamo_externo_id,prestamo_externo_desc,recurso_inicial,recurso_vigente,recurso_ingresado_percibido,ultima_actualizacion_fecha
2023,5,2023,1,Sector Público Nacional no Financiero,1,Administración Nacional,1,Administración Central,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,315,Imprenta del Congreso de la Nación,14,Venta de bienes y servicios de administraciones públicas,1,Venta de bienes,1,Venta de bienes varios de la Administración Nacional,60,Imprenta del Congreso,1.3,Recursos con Afectación Específica,11400000,Ventas de bienes y serv. de las administraciones públicas,0,GENERICO,0,0,60.46545657,2024-07-01 00:00:00
2023,5,2023,1,Sector Público Nacional no Financiero,1,Administración Nacional,1,Administración Central,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,346,Defensoría del Público de Servicios de Comunicación Audiovisual,11,Ingresos impositivos,9,Otros impuestos,9,Otros,29,Varios,1.3,Recursos con Afectación Específica,11123000,Otros impuestos,0,GENERICO,0,0,71.07619499,2024-07-01 00:00:00
2023,5,2023,1,Sector Público Nacional no Financiero,1,Administración Nacional,1,Administración Central,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,346,Defensoría del Público de Servicios de Comunicación Audiovisual,17,Transferencias corrientes,6,Transferencias corrientes del sector externo,2,Transferencias corrientes de organismos internacionales,0,Transferencias corrientes de organismos internacionales,2.1,Transferencias Externas,11732000,De organismos internacionales,90062501,UNICEF Acciones de Promoción y Protección de Derechos NNA en medios de Comunicación,0,0,4.957,2024-07-01 00:00:00
2023,5,2023,1,Sector Público Nacional no Financiero,1,Administración Nacional,1,Administración Central,5,Poder Judicial de la Nación,0,Poder Judicial de la Nación,0,Poder Judicial de la Nación,320,Consejo de la Magistratura,11,Ingresos impositivos,9,Otros impuestos,9,Otros,43,Fondo Nacional de la Justicia-3.5% Tributarios del Tesoro,1.3,Recursos con Afectación Específica,11123000,Otros impuestos,0,GENERICO,0,0,99370.01723209,2024-07-01 00:00:00
2023,5,2023,1,Sector Público Nacional no Financiero,1,Administración Nacional,1,Administración Central,5,Poder Judicial de la Nación,0,Poder Judicial de la Nación,0,Poder Judicial de la Nación,320,Consejo de la Magistratura,12,Ingresos no impositivos,9,Otros ingresos no impositivos,2,Especificados,43,Fondo Nacional de Justicia,1.3,Recursos con Afectación Específica,11330000,Otros ingresos no impositivos,0,GENERICO,0,0,1995.08796138,2024-07-01 00:00:00
2023,5,2023,1,Sector Público Nacional no Financiero,1,Administración Nacional,1,Administración Central,5,Poder Judicial de la Nación,0,Poder Judicial de la Nación,0,Poder Judicial de la Nación,335,Corte Suprema de Justicia de la Nación,11,Ingresos impositivos,9,Otros impuestos,9,Otros,43,Fondo Nacional de la Justicia-3.5% Tributarios del Tesoro,1.3,Recursos con Afectación Específica,11123000,Otros impuestos,0,GENERICO,0,0,5213.41436841,2024-07-01 00:00:00
2023,5,2023,1,Sector Público Nacional no Financiero,1,Administración Nacional,1,Administración Central,5,Poder Judicial de la Nación,0,Poder Judicial de la Nación,0,Poder Judicial de la Nación,335,Corte Suprema de Justicia de la Nación,12,Ingresos no impositivos,1,Tasas,5,Judiciales,43,Fondo Nacional de la Justicia,1.3,Recursos con Afectación Específica,11310000,Tasas,0,GENERICO,0,0,966.23697012,2024-07-01 00:00:00
2023,5,2023,1,Sector Público Nacional no Financiero,1,Administración Nacional,1,Administración Central,5,Poder Judicial de la Nación,0,Poder Judicial de la Nación,0,Poder Judicial de la Nación,335,Corte Suprema de Justicia de la Nación,12,Ingresos no impositivos,9,Otros ingresos no impositivos,2,Especificados,43,Fondo Nacional de Justicia,1.3,Recursos con Afectación Específica,11330000,Otros ingresos no impositivos,0,GENERICO,0,0,6451.48663005,2024-07-01 00:00:00
2023,5,2023,1,Sector Público Nacional no Financiero,1,Administración Nacional,1,Administración Central,10,Ministerio Público,0,Ministerio Público,0,Ministerio Público,360,Procuración General de la Nación,14,Venta de bienes y servicios de administraciones públicas,2,Venta de servicios,1,Venta de servicios varios de la Administración Nacional,29,Otros,1.3,Recursos con Afectación Específica,11400000,Ventas de bienes y serv. de las administraciones públicas,0,GENERICO,0,0,23.23493349,2024-07-01 00:00:00
2023,5,2023,1,Sector Público Nacional no Financiero,1,Administración Nacional,1,Administración Central,10,Ministerio Público,0,Ministerio Público,0,Ministerio Público,361,Defensoría General de la Nación,12,Ingresos no impositivos,9,Otros ingresos no impositivos,9,Otros,29,Otros,1.3,Recursos con Afectación Específica,11330000,Otros ingresos no impositivos,0,GENERICO,0,0,55.04288835,2024-07-01 00:00:00
